generation,total_organisms,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
0,20,60,1,1.2000002,5,20,24.000004,100,3
1,20,-inf,1,1.2000002,5,20,24.000004,100,-inf
2,18,68.594635,1,1.2000002,5,18,21.600002,90,3.810813
3,18,75.97279,1,1.2000002,5,18,21.600002,90,4.2207108
4,18,83.40073,1,1.2000002,5,18,21.600002,90,4.6333737
5,18,90.82865,1,1.2000002,5,18,21.600002,90,5.0460362
6,30,98.25661,0.9901802,1.2067511,4.997538,29.705406,36.202534,149.92615,3.2752202
7,35,110.77434,0.98659855,1.2040869,5.009074,34.53095,42.143044,175.3176,3.1649811
8,36,125.39151,0.9865871,1.2020081,5.012535,35.517136,43.272293,180.45126,3.4830976
9,36,140.36987,0.9865871,1.2020082,5.0125346,35.517136,43.272297,180.45125,3.8991632
10,36,155.34827,0.9865871,1.2020082,5.0125346,35.517136,43.272297,180.45125,4.3152294
11,39,170.32663,0.9867547,1.2019374,5.0128922,38.483433,46.87556,195.50279,4.3673496
12,51,186.67963,0.98263186,1.1937252,4.9805884,50.114223,60.879986,254.01001,3.660385
13,59,207.93488,0.98195523,1.1975236,4.9760866,57.93536,70.65389,293.5891,3.52432
14,68,232.61336,0.9823228,1.1958041,4.975994,66.79795,81.31468,338.36758,3.4207847
15,69,261.0212,0.9798605,1.19795,4.9852247,67.610374,82.658554,343.9805,3.782916
16,71,289.8298,0.9796101,1.197879,4.987354,69.552315,85.04941,354.1021,4.08211
17,76,319.5342,0.9765649,1.1943406,4.9835925,74.21893,90.76988,378.75302,4.2043977
18,90,351.4057,0.9745273,1.1975604,4.974602,87.70746,107.78044,447.7142,3.9045079
19,103,389.23947,0.97200096,1.1978768,4.9398613,100.1161,123.38131,508.80573,3.779024
20,117,432.50034,0.9740817,1.1992573,4.9573383,113.96756,140.3131,580.0086,3.696584
21,132,481.6076,0.9679861,1.1993167,4.95883,127.77416,158.30981,654.56555,3.6485424
22,140,536.7118,0.96783936,1.1942596,4.9611187,135.49751,167.19635,694.55664,3.8336556
23,147,595.0023,0.96734077,1.1936836,4.9617605,142.1991,175.4715,729.3788,4.0476346
24,167,656.2422,0.966868,1.1956316,4.956123,161.46695,199.67049,827.67255,3.929594
25,194,726.1824,0.965458,1.1997939,4.9270678,187.29884,232.76003,955.85114,3.7432082
26,218,807.1769,0.9641456,1.2003794,4.9217906,210.18375,261.6827,1072.9503,3.7026463
27,235,897.9866,0.96541655,1.2016268,4.9324765,226.8729,282.3823,1159.132,3.8212194
28,261,992.80554,0.9615173,1.1974096,4.9527297,250.95601,312.52393,1292.6625,3.8038526
29,295,1101.2128,0.95963085,1.1956323,4.956816,283.0911,352.71155,1462.2607,3.7329247
30,324,1223.8795,0.95604897,1.1996572,4.9518623,309.75986,388.68893,1604.4034,3.777406
31,363,1358.3165,0.9563615,1.2009258,4.9320927,347.1592,435.9361,1790.3496,3.7419188
32,398,1508.7411,0.95549524,1.2009827,4.9226832,380.2871,477.9911,1959.2279,3.7908068
33,444,1673.5636,0.95368534,1.201769,4.927845,423.43628,533.58545,2187.9631,3.7692873
34,479,1854.4705,0.95340675,1.201433,4.935242,456.68182,575.4864,2363.981,3.8715458
35,540,2048.9294,0.9526851,1.2013628,4.928273,514.44995,648.73596,2661.2676,3.7943137
36,606,2272.5417,0.949786,1.2010403,4.919879,575.5703,727.8304,2981.4465,3.750069
37,678,2522.5706,0.9495946,1.2025139,4.9171467,643.82513,815.30444,3333.8254,3.7206056
38,750,2801.959,0.9487287,1.2004614,4.9059,711.5465,900.34607,3679.425,3.7359452
39,827,3106.7993,0.9474456,1.2016029,4.9095263,783.5375,993.72565,4060.1785,3.7567103
40,908,3446.9673,0.9464245,1.2026016,4.9017262,859.35345,1091.9622,4450.7676,3.7962196
41,1006,3818.487,0.9460596,1.2054281,4.897739,951.73596,1212.6606,4927.1255,3.7957127
42,1123,4230.8257,0.94525915,1.2052599,4.889393,1061.526,1353.5068,5490.788,3.7674315
43,1253,4693.0503,0.9450851,1.2040849,4.8849096,1184.1917,1508.7184,6120.7915,3.7454512
