generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
0,1,15,1.5,1,0,1.5,1,0,15
1,1,14.85,1.5,1,0,1.5,1,0,14.85
2,1,14.700001,1.5,1,0,1.5,1,0,14.700001
3,1,14.550001,1.5,1,0,1.5,1,0,14.550001
4,1,14.400002,1.5,1,0,1.5,1,0,14.400002
5,1,14.250002,1.5,1,0,1.5,1,0,14.250002
6,1,14.100002,1.5,1,0,1.5,1,0,14.100002
7,1,13.950003,1.5,1,0,1.5,1,0,13.950003
8,1,13.800003,1.5,1,0,1.5,1,0,13.800003
9,1,13.650003,1.5,1,0,1.5,1,0,13.650003
10,1,13.500004,1.5,1,0,1.5,1,0,13.500004
11,1,13.350004,1.5,1,0,1.5,1,0,13.350004
12,1,13.200005,1.5,1,0,1.5,1,0,13.200005
13,1,13.050005,1.5,1,0,1.5,1,0,13.050005
14,1,12.900005,1.5,1,0,1.5,1,0,12.900005
15,1,12.750006,1.5,1,0,1.5,1,0,12.750006
16,1,12.600006,1.5,1,0,1.5,1,0,12.600006
17,1,12.4500065,1.5,1,0,1.5,1,0,12.4500065
18,1,12.300007,1.5,1,0,1.5,1,0,12.300007
19,1,12.150007,1.5,1,0,1.5,1,0,12.150007
20,1,12.000008,1.5,1,0,1.5,1,0,12.000008
21,1,11.850008,1.5,1,0,1.5,1,0,11.850008
22,1,11.700008,1.5,1,0,1.5,1,0,11.700008
23,1,11.550009,1.5,1,0,1.5,1,0,11.550009
24,1,11.400009,1.5,1,0,1.5,1,0,11.400009
25,1,11.25001,1.5,1,0,1.5,1,0,11.25001
26,1,11.10001,1.5,1,0,1.5,1,0,11.10001
27,1,10.95001,1.5,1,0,1.5,1,0,10.95001
28,1,10.800011,1.5,1,0,1.5,1,0,10.800011
29,1,10.650011,1.5,1,0,1.5,1,0,10.650011
30,1,10.500011,1.5,1,0,1.5,1,0,10.500011
31,1,10.350012,1.5,1,0,1.5,1,0,10.350012
32,1,10.200012,1.5,1,0,1.5,1,0,10.200012
33,1,10.050013,1.5,1,0,1.5,1,0,10.050013
34,1,9.900013,1.5,1,0,1.5,1,0,9.900013
35,1,9.750013,1.5,1,0,1.5,1,0,9.750013
36,1,9.600014,1.5,1,0,1.5,1,0,9.600014
37,1,9.450014,1.5,1,0,1.5,1,0,9.450014
38,1,9.3000145,1.5,1,0,1.5,1,0,9.3000145
39,1,9.150015,1.5,1,0,1.5,1,0,9.150015
40,1,9.000015,1.5,1,0,1.5,1,0,9.000015
41,1,8.850016,1.5,1,0,1.5,1,0,8.850016
42,1,8.700016,1.5,1,0,1.5,1,0,8.700016
43,1,8.550016,1.5,1,0,1.5,1,0,8.550016
44,1,8.400017,1.5,1,0,1.5,1,0,8.400017
45,1,8.250017,1.5,1,0,1.5,1,0,8.250017
46,1,8.100018,1.5,1,0,1.5,1,0,8.100018
47,1,7.9500175,1.5,1,0,1.5,1,0,7.9500175
48,1,7.8000174,1.5,1,0,1.5,1,0,7.8000174
49,1,7.6500173,1.5,1,0,1.5,1,0,7.6500173
50,1,7.500017,1.5,1,0,1.5,1,0,7.500017
51,1,7.350017,1.5,1,0,1.5,1,0,7.350017
52,1,7.200017,1.5,1,0,1.5,1,0,7.200017
53,1,7.050017,1.5,1,0,1.5,1,0,7.050017
54,1,6.900017,1.5,1,0,1.5,1,0,6.900017
55,1,6.7500167,1.5,1,0,1.5,1,0,6.7500167
56,1,6.6000166,1.5,1,0,1.5,1,0,6.6000166
57,1,6.4500165,1.5,1,0,1.5,1,0,6.4500165
58,1,6.3000164,1.5,1,0,1.5,1,0,6.3000164
59,1,6.1500163,1.5,1,0,1.5,1,0,6.1500163
60,1,6.000016,1.5,1,0,1.5,1,0,6.000016
61,1,5.850016,1.5,1,0,1.5,1,0,5.850016
62,1,5.700016,1.5,1,0,1.5,1,0,5.700016
63,1,5.550016,1.5,1,0,1.5,1,0,5.550016
64,1,5.400016,1.5,1,0,1.5,1,0,5.400016
65,1,5.2500157,1.5,1,0,1.5,1,0,5.2500157
66,1,5.1000156,1.5,1,0,1.5,1,0,5.1000156
67,1,4.9500155,1.5,1,0,1.5,1,0,4.9500155
68,1,4.8000154,1.5,1,0,1.5,1,0,4.8000154
69,1,4.6500154,1.5,1,0,1.5,1,0,4.6500154
70,1,4.5000153,1.5,1,0,1.5,1,0,4.5000153
71,1,4.350015,1.5,1,0,1.5,1,0,4.350015
72,1,4.200015,1.5,1,0,1.5,1,0,4.200015
73,1,5.732459,1.5,1,0,1.5,1,0,5.732459
74,1,7.444223,1.5,1,0,1.5,1,0,7.444223
75,1,9.337176,1.5,1,0,1.5,1,0,9.337176
76,1,9.187177,1.5,1,0,1.5,1,0,9.187177
77,1,11.420963,1.5,1,0,1.5,1,0,11.420963
78,1,11.270964,1.5,1,0,1.5,1,0,11.270964
79,1,13.022816,1.5,1,0,1.5,1,0,13.022816
80,1,14.586186,1.5,1,0,1.5,1,0,14.586186
81,1,14.436187,1.5,1,0,1.5,1,0,14.436187
82,1,14.286187,1.5,1,0,1.5,1,0,14.286187
83,1,14.136188,1.5,1,0,1.5,1,0,14.136188
84,1,15.899685,1.5,1,0,1.5,1,0,15.899685
85,1,15.749685,1.5,1,0,1.5,1,0,15.749685
86,1,15.599686,1.5,1,0,1.5,1,0,15.599686
87,1,15.449686,1.5,1,0,1.5,1,0,15.449686
88,1,15.299686,1.5,1,0,1.5,1,0,15.299686
89,1,15.149687,1.5,1,0,1.5,1,0,15.149687
90,1,14.999687,1.5,1,0,1.5,1,0,14.999687
91,1,14.849688,1.5,1,0,1.5,1,0,14.849688
92,1,14.699688,1.5,1,0,1.5,1,0,14.699688
93,1,14.549688,1.5,1,0,1.5,1,0,14.549688
94,1,14.399689,1.5,1,0,1.5,1,0,14.399689
95,1,14.249689,1.5,1,0,1.5,1,0,14.249689
96,1,14.0996895,1.5,1,0,1.5,1,0,14.0996895
97,1,13.94969,1.5,1,0,1.5,1,0,13.94969
98,1,15.38678,1.5,1,0,1.5,1,0,15.38678
99,1,15.23678,1.5,1,0,1.5,1,0,15.23678
